KEY|RUTA|STATUS|FECHAHORA|DETALLE
99dc5064a78d089b3c5b7f677fb66e336f9ff3696f21a96417b900d835f38369|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311164402USUARIOS.txt|VALIDADO|11/03/2026 16:44:30|ARCHIVO SIN ERRORES
b221d9dbb083a7f33428d7c2a3c3198ae925614d70210e28716ccaa7cd4ddb79|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311164532USUARIOS.txt|VALIDADO|11/03/2026 16:45:18|ARCHIVO SIN ERRORES
-|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311165332USUARIOS - copia.txt|NO VALIDADO|11/03/2026 16:53:37|ARCHIVO CON ERRORES DE VALIDACION
c627606d8680f0e9e7770f6d721246fa190ded3578109cd3b320090298a6846e|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311170021USUARIOS.txt|VALIDADO|11/03/2026 17:00:30|ARCHIVO SIN ERRORES
a7ce94f0418788a1b0b8ee7c9487f64541ef84727cbd749f7e2778c6f4ea2a0f|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311170325USUARIOS.txt|VALIDADO|11/03/2026 17:03:09|ARCHIVO SIN ERRORES
ead7026f736c21af0b640b1cc2b7f6b73b43be773db8c6e8bca42c4b22c63cd0|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311170662USUARIOS.txt|VALIDADO|11/03/2026 18:06:21|ARCHIVO SIN ERRORES
ead7026f736c21af0b640b1cc2b7f6b73b43be773db8c6e8bca42c4b22c63cd0|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311170662USUARIOS.txt|ERROR|11/03/2026 18:03:20|TIEMPO EXPIRADO PARA PROCESAR EL ARCHIVO
03ecc9ce8054dd631ca06a123c1b9b0578a9e2ecd145dead484644be7156034b|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311181149USUARIOS.txt|VALIDADO|11/03/2026 18:11:12|ARCHIVO SIN ERRORES
7ec944a67db542658353991fafcb49e33679d68315c6aa80439156a5a51e063b|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311181414USUARIOS.txt|VALIDADO|11/03/2026 18:14:34|ARCHIVO SIN ERRORES
9a72eeffc3483d0ae014f2a0f840c4d55c1ee633480ff206ffd6a438fa91d44e|C:\Users\digis\OneDrive\Documents\JavaSpring\Servicios/src/main/resources/archivosCM/20260311181672USUARIOS.txt|VALIDADO|11/03/2026 18:16:04|ARCHIVO SIN ERRORES
